job_url,skill
https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-data-analyst,Power BI
https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-data-analyst,Tableau
https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-data-analyst,R
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,SQL
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,Python
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,Power BI
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,Tableau
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,R
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,Spark
https://himalayas.app/companies/walmart-com/jobs/usa-senior-data-analyst,Statistics
https://himalayas.app/companies/siegen-hr-solutions-inc/jobs/virtual-employment-remote-data-analyst-2298259771,SQL
https://himalayas.app/companies/siegen-hr-solutions-inc/jobs/virtual-employment-remote-data-analyst-2298259771,Python
https://himalayas.app/companies/siegen-hr-solutions-inc/jobs/virtual-employment-remote-data-analyst-2298259771,Excel
https://himalayas.app/companies/siegen-hr-solutions-inc/jobs/virtual-employment-remote-data-analyst-2298259771,Power BI
https://himalayas.app/companies/siegen-hr-solutions-inc/jobs/virtual-employment-remote-data-analyst-2298259771,Tableau
https://himalayas.app/companies/siegen-hr-solutions-inc/jobs/virtual-employment-remote-data-analyst-2298259771,Statistics
https://himalayas.app/companies/red-robin/jobs/marketing-analyst-strategy-data-science,SQL
https://himalayas.app/companies/red-robin/jobs/marketing-analyst-strategy-data-science,Python
https://himalayas.app/companies/red-robin/jobs/marketing-analyst-strategy-data-science,Power BI
https://himalayas.app/companies/red-robin/jobs/marketing-analyst-strategy-data-science,Tableau
https://himalayas.app/companies/red-robin/jobs/marketing-analyst-strategy-data-science,AWS
https://himalayas.app/companies/careerswift/jobs/data-analyst-junior-mid,SQL
https://himalayas.app/companies/careerswift/jobs/data-analyst-junior-mid,Excel
https://himalayas.app/companies/careerswift/jobs/data-analyst-junior-mid,Power BI
https://himalayas.app/companies/careerswift/jobs/data-analyst-junior-mid,Tableau
https://himalayas.app/companies/bryanjohnson/jobs/product-analyst-927496753,SQL
https://himalayas.app/companies/bryanjohnson/jobs/product-analyst-927496753,Power BI
https://himalayas.app/companies/bryanjohnson/jobs/product-analyst-927496753,Tableau
https://himalayas.app/companies/bryanjohnson/jobs/product-analyst-927496753,Snowflake
https://himalayas.app/companies/crc-group/jobs/data-analyst,SQL
https://himalayas.app/companies/social-discovery-ventures/jobs/product-analyst-muslima,SQL
https://himalayas.app/companies/social-discovery-ventures/jobs/product-analyst-muslima,Python
https://himalayas.app/companies/social-discovery-ventures/jobs/product-analyst-muslima,Excel
https://himalayas.app/companies/social-discovery-ventures/jobs/product-analyst-muslima,Statistics
